Kabupaten/ Kota,new_cases,hospitalization_rate,mortality,testing,tracing_ratio,bed_occupancy_rate,vaksin_umum,vaksin_lansia,ppkm
KOTA BATU,0,,0,0,0,0.3,91.5,67.4,2
KOTA BANJARMASIN,0,0.14,0,0,0,0.6,70.51,48.95,2
KOTA BANDA ACEH,0,,0,0,0,1.54,86.45,65.27,2
KOTA AMBON,0,,0,0,0,0.42,73.31,59.78,2
KONAWE UTARA,0,,0,0,0,0,70.2,49.51,2
KONAWE KEPULAUAN,0,,0,0,0,0,50.13,40.57,2
KOLAKA TIMUR,0,,0,0,0,0,49.52,40.55,3
KOLAKA,0,,0,0,0,0,66.49,53.47,2
KLATEN,0,,0,0,0,0.8,80.58,75.54,2
KETAPANG,0,,0,0,0,0,61.88,36.61,3
KERINCI,0,,0,0,0,,68.89,68.38,2
KEPULAUAN YAPEN,0,,0,0,0,,19.75,6.9,3
KEPULAUAN TANIMBAR,0,,0,0,0,0,50.07,42.79,2
KEPULAUAN TALAUD,0,,0,0,0,0,52.45,52.83,2
KEPULAUAN SULA,0,,0,0,0,0,37.31,25.03,3
KEPULAUAN SERIBU,0,,0,0,0,0,122.7,96.32,1
KEPULAUAN SELAYAR,0,,0,0,0,0,54.07,67.08,2
KEPULAUAN SANGIHE,0,,0,0,0,0,46.52,35.9,3
KEPULAUAN MERANTI,0,,0,0,0,1.43,74.55,75.09,2
KEPULAUAN MENTAWAI,0,,0,0,0,0,52.31,49.35,2
KEPULAUAN ARU,0,,0,0,0,0,48.21,30.96,3
KEPULAUAN ANAMBAS,0,,0,0,0,0,73.21,49.65,2
KEPAHIANG,0,,0,0,0,0,66.96,61.17,2
KENDAL,0,,0,0,0,0,75.55,61.74,2
KEEROM,0,,0,0,0,0,51.61,40.99,2
KAYONG UTARA,0,,0,0,0,0,61.62,59.62,2
KAPUAS HULU,0,,0,0,0,0,58.66,43.66,2
KAIMANA,0,,0,0,0,0,30.94,17.77,3
JEPARA,0,,0,0,0,0.44,71.2,67.4,2
JENEPONTO,0,,0,0,0,0,54.75,63.55,2
JEMBRANA,0,,0,0,0,0,85.31,80.02,2
JEMBER,0,,0,0,0,2.36,65.33,66.95,2
JAYAWIJAYA,0,,0,0,0,0,12.27,3.06,3
JAYAPURA,0,,0,0,0,0,49.94,25.82,3
INTAN JAYA,0,,0,0,0,0,2.41,0.63,3
INDRAGIRI HULU,0,,0,0,0,0.29,66.96,59.11,2
INDRAGIRI HILIR,0,,0,0,0,0,71.46,67.16,2
HULU SUNGAI UTARA,0,,0,0,0,0,69.84,67.07,2
HULU SUNGAI SELATAN,0,,0,0,0,0,69.12,68.91,2
HALMAHERA UTARA,0,,0,0,0,0,67.71,74.8,2
HALMAHERA TIMUR,0,,0,0,0,0,63.27,61.79,2
HALMAHERA TENGAH,0,,0,0,0,0,108.58,35.43,3
HALMAHERA SELATAN,0,,0,0,0,0,67.58,91.12,2
HALMAHERA BARAT,0,,0,0,0,0,37.78,39.52,3
GROBOGAN,0,,0,0,0,0,74.65,68.66,2
GOWA,0,,0,0,0,0,53.88,41.63,2
GORONTALO UTARA,0,,0,0,0,0,61.47,47.78,2
GORONTALO,0,,0,0,0,9.38,63.72,51.53,2
GIANYAR,0,,0,0,0,0.1,90.44,62.7,2
GAYO LUES,0,,0,0,0,0,75.73,74.47,2
FLORES TIMUR,0,0.38,0,0,0,13.51,64.78,48.82,2
FAK FAK,0,,0,0,0,100,51.43,32.98,3
ENREKANG,0,,0,0,0,0,60.97,49.53,2
ENDE,0,,0,0,0,3.92,68.2,46.86,2
DOGIYAI,0,,0,0,0,,1.64,1.64,3
DHARMASRAYA,0,,0,0,0,0,66.15,79.05,2
DEMAK,0,,0,0,0,0.35,71.58,66.99,2
DEIYAI,0,,0,0,0,,2.7,0.56,3
CIANJUR,0,,0,0,0,2.26,82.63,102.77,2
CIAMIS,0,0.08,0,0,0,0.09,74.17,94.91,2
BUTON UTARA,0,,0,0,0,0,57.39,48.98,2
BUTON TENGAH,0,,0,0,0,0,53.79,41.45,2
BUTON SELATAN,0,,0,0,0,0,58.83,45.79,2
BUTON,0,,0,0,0,0,53.42,41.86,2
BURU SELATAN,0,,0,0,0,0,38.36,30.38,3
BURU,0,,0,0,0,0,45.25,37.09,3
BULUKUMBA,0,,0,0,0,0,55.25,51.3,2
BREBES,0,0.11,0,0,0,2.1,66.12,73.62,2
BONE BOLANGO,0,,0,0,0,0,60.19,49.21,2
BONE,0,,0,0,0,0,60.52,54.26,2
BONDOWOSO,0,,0,0,0,0,71.29,85.99,2
BOMBANA,0,,0,0,0,0,57.32,38.72,3
BOLAANG MONGONDOW UTARA,0,,0,0,0,0,53.86,40.32,2
BOLAANG MONGONDOW TIMUR,0,,0,0,0,,47.03,37.97,3
BOLAANG MONGONDOW SELATAN,0,,0,0,0,0,50.37,36.52,3
BOLAANG MONGONDOW,0,,0,0,0,0,49.92,42.7,3
BOJONEGORO,0,,0,0,0,0,75.44,66.19,2
BOALEMO,0,,0,0,0,0,62.79,56.51,2
BLORA,0,,0,0,0,0,74.24,70.69,2
BIREUEN,0,,0,0,0,0,68.89,64.39,2
BINTAN,0,,0,0,0,1.67,84.06,56.21,2
BIAK NUMFOR,0,,0,0,0,0,43.2,19.54,3
BENGKULU UTARA,0,,0,0,0,20,70.43,66.41,2
BENGKULU SELATAN,0,,0,0,0,0,74.75,79.49,2
BENGKAYANG,0,,0,0,0,0,62.16,44.98,2
BENER MERIAH,0,,0,0,0,0,92.28,104.36,2
BELU,0,,0,0,0,0,67.37,50.82,2
BELITUNG TIMUR,0,,0,0,0,0,84.33,81.41,2
BELITUNG,0,,0,0,0,0,83.58,67.25,2
BATU BARA,0,,0,0,0,0,79.91,85.18,2
BATANGHARI,0,,0,0,0,0,63.2,48.95,2
BARITO UTARA,0,,0,0,0,2.38,70.76,51.97,2
BARITO TIMUR,0,,0,0,0,0,76.08,61.13,2
BARITO SELATAN,0,,0,0,0,0,70.73,66.12,2
BARITO KUALA,0,,0,0,0,0,64.98,69.3,2
BANTAENG,0,,0,0,0,0,55.8,52.73,2
BANJARNEGARA,0,,0,0,0,0,73.38,70.67,2
BANJAR,0,,0,0,0,0,60.5,58.77,2
BANGLI,0,,0,0,0,0,81.9,65.41,2
BANGKA BARAT,0,0.92,0,0,0,4.76,71.22,60.96,2
BANGGAI LAUT,0,,0,0,0,0,44.71,31.9,3
BANGGAI,0,,0,0,0,0,53.36,39.62,3
BALANGAN,0,,0,0,0,0,70.88,61.97,2
ASMAT,0,,0,0,0,0,29.52,21.23,3
ALOR,0,,0,0,0,0,57.82,44.53,2
AGAM,0,,0,0,0,0,53.61,68.59,2
ACEH UTARA,0,,0,0,0,0,69.44,66.26,2
ACEH TIMUR,0,,0,0,0,0,67.74,63.3,2
ACEH TENGGARA,0,,0,0,0,0,70.59,71.28,2
ACEH TENGAH,0,,0,0,0,0,71.92,73.16,2
ACEH TAMIANG,0,,0,0,0,0,75.61,87.69,2
ACEH SINGKIL,0,,0,0,0,0,73.45,118.38,2
ACEH SELATAN,0,,0,0,0,0,69.1,65.79,2
ACEH JAYA,0,,0,0,0,0,81.61,93.44,2
ACEH BESAR,0,,0,0,0,0,71.19,107.84,2
ACEH BARAT DAYA,0,,0,0,0,0,77.53,91.34,2
ACEH BARAT,0,,0,0,0,0,78.26,82.81,2
